title,company,description,requirements,salary,location,email,has_company_logo,has_questions,telecommuting,fraudulent
Data Scientist,Tech Mahindra,"We are looking for an experienced Data Scientist to join our security team. You will work on mobile applications using Go, Docker, Kubernetes. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","7+ years of industry experience. Expert knowledge of Go, Docker, Kubernetes. Leadership experience preferred. Strong written and verbal communication.","$103,000/year",Singapore,careers@tech.com,1,1,0,0
Technical Lead,Accenture,"Join our growing engineering team as a Technical Lead. You'll be responsible for designing and implementing scalable systems and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","7+ years of industry experience. Expert knowledge of Java, Spring Boot, AWS. Leadership experience preferred. Strong written and verbal communication.","$145,000/year","London, UK",careers@accenture.com,1,1,0,0
Product Manager,Infosys Limited,"Join our growing engineering team as a Product Manager. You'll be responsible for leading technical architecture decisions and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","7+ years of industry experience. Expert knowledge of Ruby on Rails, Redis, PostgreSQL. Leadership experience preferred. Strong written and verbal communication.","$114,000/year","Hybrid - San Jose, CA",careers@infosys.com,1,1,0,0
Full Stack Developer,Accenture,"We're hiring a Full Stack Developer to help us build scalable microservices. This role involves leading technical architecture decisions. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","2+ years relevant experience. Knowledge of Scala, Apache Spark, Hadoop. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$118,000/year","Bangalore, India",careers@accenture.com,1,0,0,0
Solutions Architect,Apple Inc,"We're hiring a Solutions Architect to help us build mobile applications. This role involves building ML models for production. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","2+ years relevant experience. Knowledge of React, TypeScript, Node.js. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$168,000/year","Toronto, Canada",careers@apple.com,1,0,0,0
UX Designer,Infosys Limited,"Exciting opportunity for a UX Designer at Infosys Limited. Work on cutting-edge scalable microservices with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","5+ years of experience in C++, Linux, Embedded Systems. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$192,000/year","San Francisco, CA",careers@infosys.com,1,1,0,0
DevOps Engineer,Accenture,"We're hiring a DevOps Engineer to help us build ML pipelines. This role involves optimizing system performance. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","Bachelor's or Master's degree required. 4+ years in Swift, iOS, Core Data. Strong analytical and problem-solving abilities. Team player.","$75,000/year","Pune, India",careers@accenture.com,1,0,0,0
Backend Developer,Spotify Technology,"We are looking for an experienced Backend Developer to join our cloud team. You will work on ML pipelines using Swift, iOS, Core Data. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","Bachelor's or Master's degree required. 4+ years in Swift, iOS, Core Data. Strong analytical and problem-solving abilities. Team player.","$106,000/year",Remote,careers@spotify.com,1,1,1,0
Site Reliability Engineer,Accenture,"We are looking for an experienced Site Reliability Engineer to join our cloud team. You will work on data platform using React, TypeScript, Node.js. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","5+ years of experience in React, TypeScript, Node.js. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$121,000/year","Toronto, Canada",careers@accenture.com,1,1,0,0
QA Engineer,Intel Corporation,"We're hiring a QA Engineer to help us build scalable microservices. This role involves building ML models for production. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","3+ years professional experience. Proficiency in Ruby on Rails, Redis, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$188,000/year","Seattle, WA",careers@intel.com,1,1,0,0
UX Designer,Wipro Limited,"Wipro Limited is seeking a talented UX Designer for our Berlin, Germany office. The ideal candidate will have experience in Python, TensorFlow, Kubernetes. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","5+ years of experience in Python, TensorFlow, Kubernetes. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$75,000/year","Berlin, Germany",careers@wipro.com,1,0,0,0
Site Reliability Engineer,Salesforce Inc,"We are looking for an experienced Site Reliability Engineer to join our data team. You will work on mobile applications using Python, Django, PostgreSQL. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","7+ years of industry experience. Expert knowledge of Python, Django, PostgreSQL. Leadership experience preferred. Strong written and verbal communication.","$110,000/year","San Francisco, CA",careers@salesforce.com,1,1,0,0
Data Scientist,Google LLC,"We're hiring a Data Scientist to help us build ML pipelines. This role involves designing and implementing scalable systems. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","5+ years of experience in Scala, Apache Spark, Hadoop. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$69,000/year","Bangalore, India",careers@google.com,1,0,0,0
Mobile Developer,HCL Technologies,"HCL Technologies is seeking a talented Mobile Developer for our Remote office. The ideal candidate will have experience in Scala, Apache Spark, Hadoop. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","2+ years relevant experience. Knowledge of Scala, Apache Spark, Hadoop. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$64,000/year",Remote,careers@hcl.com,1,1,1,0
Full Stack Developer,Adobe Systems,"Adobe Systems is seeking a talented Full Stack Developer for our Hyderabad, India office. The ideal candidate will have experience in Java, Spring Boot, AWS. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","7+ years of industry experience. Expert knowledge of Java, Spring Boot, AWS. Leadership experience preferred. Strong written and verbal communication.","$85,000/year","Hyderabad, India",careers@adobe.com,1,1,0,0
Data Scientist,Cognizant,"We are looking for an experienced Data Scientist to join our cloud team. You will work on cloud infrastructure using Kotlin, Android, Firebase. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","2+ years relevant experience. Knowledge of Kotlin, Android, Firebase. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$182,000/year","San Francisco, CA",careers@cognizant.com,1,1,0,0
Security Analyst,Microsoft Corporation,"We are looking for an experienced Security Analyst to join our product team. You will work on cloud infrastructure using Ruby on Rails, Redis, PostgreSQL. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","Bachelor's or Master's degree required. 4+ years in Ruby on Rails, Redis, PostgreSQL. Strong analytical and problem-solving abilities. Team player.","$140,000/year",Remote,careers@microsoft.com,1,1,1,0
DevOps Engineer,Oracle Corporation,"Join our growing engineering team as a DevOps Engineer. You'll be responsible for building ML models for production and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","3+ years professional experience. Proficiency in Go, Docker, Kubernetes. Excellent communication skills. Experience with agile methodologies.","$166,000/year","New York, NY",careers@oracle.com,1,1,0,0
Security Analyst,Google LLC,"We are looking for an experienced Security Analyst to join our security team. You will work on mobile applications using Python, Django, PostgreSQL. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","2+ years relevant experience. Knowledge of Python, Django, PostgreSQL. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$160,000/year",Singapore,careers@google.com,1,1,0,0
Data Scientist,Google LLC,"Join our growing engineering team as a Data Scientist. You'll be responsible for building ML models for production and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","5+ years of experience in React, TypeScript, Node.js. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$108,000/year","New York, NY",careers@google.com,1,0,0,0
Data Scientist,Amazon Web Services,"Join our growing engineering team as a Data Scientist. You'll be responsible for designing and implementing scalable systems and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","3+ years professional experience. Proficiency in Python, TensorFlow, Kubernetes. Excellent communication skills. Experience with agile methodologies.","$175,000/year","Hybrid - San Jose, CA",careers@amazon.com,1,1,0,0
Project Manager,Wipro Limited,"Exciting opportunity for a Project Manager at Wipro Limited. Work on cutting-edge cloud infrastructure with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","Bachelor's or Master's degree required. 4+ years in Python, Django, PostgreSQL. Strong analytical and problem-solving abilities. Team player.","$60,000/year","Seattle, WA",careers@wipro.com,1,1,0,0
Frontend Engineer,Amazon Web Services,"We're hiring a Frontend Engineer to help us build ML pipelines. This role involves designing and implementing scalable systems. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","2+ years relevant experience. Knowledge of Python, TensorFlow, Kubernetes. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$181,000/year","Hyderabad, India",careers@amazon.com,1,0,0,0
Database Administrator,Cisco Systems,"Join our growing engineering team as a Database Administrator. You'll be responsible for designing and implementing scalable systems and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","2+ years relevant experience. Knowledge of Kotlin, Android, Firebase. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$172,000/year",Remote,careers@cisco.com,1,1,1,0
Systems Administrator,Accenture,"We are looking for an experienced Systems Administrator to join our security team. You will work on ML pipelines using Swift, iOS, Core Data. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","5+ years of experience in Swift, iOS, Core Data. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$110,000/year","Bangalore, India",careers@accenture.com,1,1,0,0
Site Reliability Engineer,TCS,"We are looking for an experienced Site Reliability Engineer to join our data team. You will work on scalable microservices using Swift, iOS, Core Data. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","3+ years professional experience. Proficiency in Swift, iOS, Core Data. Excellent communication skills. Experience with agile methodologies.","$182,000/year","New York, NY",careers@tcs.com,1,1,0,0
Full Stack Developer,Accenture,"We're hiring a Full Stack Developer to help us build cloud infrastructure. This role involves optimizing system performance. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","5+ years of experience in React, TypeScript, Node.js. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$84,000/year","Bangalore, India",careers@accenture.com,1,1,0,0
Technical Lead,Wipro Limited,"We are looking for an experienced Technical Lead to join our security team. You will work on cloud infrastructure using Go, Docker, Kubernetes. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","2+ years relevant experience. Knowledge of Go, Docker, Kubernetes. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$92,000/year","New York, NY",careers@wipro.com,1,1,0,0
Security Analyst,Intel Corporation,"We are looking for an experienced Security Analyst to join our infrastructure team. You will work on cloud infrastructure using Kotlin, Android, Firebase. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","Bachelor's or Master's degree required. 4+ years in Kotlin, Android, Firebase. Strong analytical and problem-solving abilities. Team player.","$195,000/year","Hybrid - San Jose, CA",careers@intel.com,1,1,0,0
Cloud Architect,Google LLC,"We are looking for an experienced Cloud Architect to join our product team. You will work on mobile applications using Go, Docker, Kubernetes. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","5+ years of experience in Go, Docker, Kubernetes. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$154,000/year","Pune, India",careers@google.com,1,1,0,0
Project Manager,Accenture,"Join our growing engineering team as a Project Manager. You'll be responsible for optimizing system performance and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","7+ years of industry experience. Expert knowledge of C++, Linux, Embedded Systems. Leadership experience preferred. Strong written and verbal communication.","$68,000/year","New York, NY",careers@accenture.com,1,1,0,0
Machine Learning Engineer,Wipro Limited,"Exciting opportunity for a Machine Learning Engineer at Wipro Limited. Work on cutting-edge cloud infrastructure with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","2+ years relevant experience. Knowledge of Python, TensorFlow, Kubernetes. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$104,000/year","Mumbai, India",careers@wipro.com,1,1,0,0
UX Designer,HCL Technologies,"Exciting opportunity for a UX Designer at HCL Technologies. Work on cutting-edge ML pipelines with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","2+ years relevant experience. Knowledge of Go, Docker, Kubernetes. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$176,000/year","London, UK",careers@hcl.com,1,1,0,0
DevOps Engineer,Adobe Systems,"Adobe Systems is seeking a talented DevOps Engineer for our Pune, India office. The ideal candidate will have experience in C++, Linux, Embedded Systems. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","2+ years relevant experience. Knowledge of C++, Linux, Embedded Systems. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$183,000/year","Pune, India",careers@adobe.com,1,1,0,0
Solutions Architect,Apple Inc,"Join our growing engineering team as a Solutions Architect. You'll be responsible for optimizing system performance and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","7+ years of industry experience. Expert knowledge of Go, Docker, Kubernetes. Leadership experience preferred. Strong written and verbal communication.","$86,000/year","San Francisco, CA",careers@apple.com,1,0,0,0
Database Administrator,Tech Mahindra,"We are looking for an experienced Database Administrator to join our cloud team. You will work on mobile applications using Swift, iOS, Core Data. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","7+ years of industry experience. Expert knowledge of Swift, iOS, Core Data. Leadership experience preferred. Strong written and verbal communication.","$124,000/year","London, UK",careers@tech.com,1,1,0,0
Senior Software Engineer,Tech Mahindra,"Tech Mahindra is seeking a talented Senior Software Engineer for our San Francisco, CA office. The ideal candidate will have experience in Go, Docker, Kubernetes. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","5+ years of experience in Go, Docker, Kubernetes. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$124,000/year","San Francisco, CA",careers@tech.com,1,1,0,0
Frontend Engineer,Meta Platforms,"Meta Platforms is seeking a talented Frontend Engineer for our Berlin, Germany office. The ideal candidate will have experience in Go, Docker, Kubernetes. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","7+ years of industry experience. Expert knowledge of Go, Docker, Kubernetes. Leadership experience preferred. Strong written and verbal communication.","$144,000/year","Berlin, Germany",careers@meta.com,1,1,0,0
Database Administrator,Apple Inc,"Join our growing engineering team as a Database Administrator. You'll be responsible for optimizing system performance and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","Bachelor's or Master's degree required. 4+ years in Python, Django, PostgreSQL. Strong analytical and problem-solving abilities. Team player.","$175,000/year","Berlin, Germany",careers@apple.com,1,1,0,0
Mobile Developer,Meta Platforms,"We're hiring a Mobile Developer to help us build ML pipelines. This role involves leading technical architecture decisions. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","7+ years of industry experience. Expert knowledge of C++, Linux, Embedded Systems. Leadership experience preferred. Strong written and verbal communication.","$98,000/year","Toronto, Canada",careers@meta.com,1,0,0,0
Mobile Developer,Oracle Corporation,"We're hiring a Mobile Developer to help us build scalable microservices. This role involves optimizing system performance. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","7+ years of industry experience. Expert knowledge of Ruby on Rails, Redis, PostgreSQL. Leadership experience preferred. Strong written and verbal communication.","$111,000/year","Mumbai, India",careers@oracle.com,1,1,0,0
Security Analyst,Amazon Web Services,"Amazon Web Services is seeking a talented Security Analyst for our Toronto, Canada office. The ideal candidate will have experience in Swift, iOS, Core Data. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","Bachelor's or Master's degree required. 4+ years in Swift, iOS, Core Data. Strong analytical and problem-solving abilities. Team player.","$175,000/year","Toronto, Canada",careers@amazon.com,1,0,0,0
Database Administrator,IBM Corporation,"We're hiring a Database Administrator to help us build cloud infrastructure. This role involves leading technical architecture decisions. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","2+ years relevant experience. Knowledge of Swift, iOS, Core Data. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$107,000/year","Seattle, WA",careers@ibm.com,1,1,0,0
SMS Sending Job,,Hiring urgently! No qualifications needed. Guaranteed salary of $8000/month. Send your bank details to start.,,,,hiring@yahoo.com,0,0,0,1
Frontend Engineer,Infosys Limited,"Join our growing engineering team as a Frontend Engineer. You'll be responsible for building ML models for production and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","5+ years of experience in React, TypeScript, Node.js. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$85,000/year","Pune, India",careers@infosys.com,1,1,0,0
Solutions Architect,Cisco Systems,"We're hiring a Solutions Architect to help us build mobile applications. This role involves optimizing system performance. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","Bachelor's or Master's degree required. 4+ years in Java, Spring Boot, AWS. Strong analytical and problem-solving abilities. Team player.","$140,000/year","Austin, TX",careers@cisco.com,1,1,0,0
UX Designer,Salesforce Inc,"Exciting opportunity for a UX Designer at Salesforce Inc. Work on cutting-edge cloud infrastructure with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","7+ years of industry experience. Expert knowledge of React, TypeScript, Node.js. Leadership experience preferred. Strong written and verbal communication.","$123,000/year","New York, NY",careers@salesforce.com,1,0,0,0
QA Engineer,Oracle Corporation,"Oracle Corporation is seeking a talented QA Engineer for our Berlin, Germany office. The ideal candidate will have experience in Java, Spring Boot, AWS. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","7+ years of industry experience. Expert knowledge of Java, Spring Boot, AWS. Leadership experience preferred. Strong written and verbal communication.","$87,000/year","Berlin, Germany",careers@oracle.com,1,1,0,0
Business Analyst,Amazon Web Services,"Amazon Web Services is seeking a talented Business Analyst for our Singapore office. The ideal candidate will have experience in Swift, iOS, Core Data. We offer mentorship programs, sprint-based development, and competitive compensation with equity.","2+ years relevant experience. Knowledge of Swift, iOS, Core Data. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$141,000/year",Singapore,careers@amazon.com,1,1,0,0
Immediate Hiring,,Hiring urgently! No qualifications needed. Guaranteed salary of $8000/month. Send your bank details to start.,,$5000/week,Anywhere,work@hotmail.com,0,0,0,1
Project Manager,TCS,"We are looking for an experienced Project Manager to join our data team. You will work on ML pipelines using Swift, iOS, Core Data. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","3+ years professional experience. Proficiency in Swift, iOS, Core Data. Excellent communication skills. Experience with agile methodologies.","$71,000/year","Austin, TX",careers@tcs.com,1,1,0,0
Technical Lead,Microsoft Corporation,"We're hiring a Technical Lead to help us build mobile applications. This role involves designing and implementing scalable systems. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","5+ years of experience in Python, TensorFlow, Kubernetes. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$166,000/year","Pune, India",careers@microsoft.com,1,1,0,0
Product Manager,Adobe Systems,"We're hiring a Product Manager to help us build mobile applications. This role involves leading technical architecture decisions. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","Bachelor's or Master's degree required. 4+ years in Java, Spring Boot, AWS. Strong analytical and problem-solving abilities. Team player.","$92,000/year","Austin, TX",careers@adobe.com,1,1,0,0
Solutions Architect,IBM Corporation,"We are looking for an experienced Solutions Architect to join our infrastructure team. You will work on ML pipelines using C++, Linux, Embedded Systems. We offer competitive salary, health insurance, 401k matching, paid time off, and career growth opportunities. Our agile environment emphasizes collaboration and mentorship.","Bachelor's or Master's degree required. 4+ years in C++, Linux, Embedded Systems. Strong analytical and problem-solving abilities. Team player.","$150,000/year",Remote,careers@ibm.com,1,1,1,0
Cloud Architect,IBM Corporation,"Exciting opportunity for a Cloud Architect at IBM Corporation. Work on cutting-edge mobile applications with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","Bachelor's or Master's degree required. 4+ years in Java, Spring Boot, AWS. Strong analytical and problem-solving abilities. Team player.","$130,000/year","New York, NY",careers@ibm.com,1,1,0,0
Security Analyst,Cognizant,"Join our growing engineering team as a Security Analyst. You'll be responsible for building ML models for production and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","5+ years of experience in Scala, Apache Spark, Hadoop. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$80,000/year","Hybrid - San Jose, CA",careers@cognizant.com,1,1,0,0
Solutions Architect,Tech Mahindra,"Exciting opportunity for a Solutions Architect at Tech Mahindra. Work on cutting-edge cloud infrastructure with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","3+ years professional experience. Proficiency in React, TypeScript, Node.js. Excellent communication skills. Experience with agile methodologies.","$99,000/year","Bangalore, India",careers@tech.com,1,1,0,0
Solutions Architect,Amazon Web Services,"Join our growing engineering team as a Solutions Architect. You'll be responsible for building ML models for production and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","5+ years of experience in Go, Docker, Kubernetes. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$169,000/year","Bangalore, India",careers@amazon.com,1,1,0,0
Technical Lead,Tech Mahindra,"Join our growing engineering team as a Technical Lead. You'll be responsible for building ML models for production and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","5+ years of experience in Swift, iOS, Core Data. Bachelor's degree in Computer Science or related field. Strong problem-solving skills and team collaboration.","$184,000/year","San Francisco, CA",careers@tech.com,1,1,0,0
UX Designer,Microsoft Corporation,"We're hiring a UX Designer to help us build scalable microservices. This role involves optimizing system performance. We value diversity and inclusion. Comprehensive benefits package including health coverage, retirement plans, and generous PTO.","2+ years relevant experience. Knowledge of Python, Django, PostgreSQL. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$199,000/year","Toronto, Canada",careers@microsoft.com,1,1,0,0
Full Stack Developer,Intel Corporation,"Join our growing engineering team as a Full Stack Developer. You'll be responsible for optimizing system performance and work closely with cross-functional teams. Benefits include health insurance, equity, flexible work arrangements, and professional development budget.","3+ years professional experience. Proficiency in Ruby on Rails, Redis, PostgreSQL. Excellent communication skills. Experience with agile methodologies.","$190,000/year",Remote,careers@intel.com,1,1,1,0
Mobile Developer,Accenture,"Exciting opportunity for a Mobile Developer at Accenture. Work on cutting-edge cloud infrastructure with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","2+ years relevant experience. Knowledge of Ruby on Rails, Redis, PostgreSQL. Self-motivated and detail-oriented. Ability to work in a fast-paced environment.","$89,000/year",Singapore,careers@accenture.com,1,1,0,0
Mobile Developer,Wipro Limited,"Exciting opportunity for a Mobile Developer at Wipro Limited. Work on cutting-edge scalable microservices with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","7+ years of industry experience. Expert knowledge of Go, Docker, Kubernetes. Leadership experience preferred. Strong written and verbal communication.","$127,000/year","Mumbai, India",careers@wipro.com,1,1,0,0
Data Scientist,Intel Corporation,"Exciting opportunity for a Data Scientist at Intel Corporation. Work on cutting-edge data platform with a world-class team. Benefits: health insurance, stock options, remote flexibility, learning stipend, and career growth.","3+ years professional experience. Proficiency in Go, Docker, Kubernetes. Excellent communication skills. Experience with agile methodologies.","$184,000/year","New York, NY",careers@intel.com,1,0,0,0
